el Diente de oro	el ciego de Nagua	el  ciego de Nagua	spanish	2017	Latin	Merengue	gold tooth/hood	sad	Accordion	9	6	7	7	7	9	8
emotions	iann dior	iann dior	English	2019	Hip Hop	rap	heartbreak	sad	piano	7	8	7	8	7	5	5
endless story 	yuna ito	yuna ito	Japanese	2005	pop	jpop	love	sad/happy	voice/synthesizer	8	8	7	7	8	7	7
EUNG FREESTYLE	Dream Perfect Regime	LIVE, SIK-K, PUNCHNELLO, OWEN OVADOZ, FLOWSIK	Korean	2016	Rap	Korean	prospering	hype	synthesizer	6	7	6	6	8	5	8
Every Season 	Roddy Rich 	Roddy Rich 	English 	2018	hip hop 	Rap	Money 	Hype	Guitar 	3	5	5	7	7	7	4
Everybody wants to rule the world	Tears For Fears	Tears For Fears	English	1985	rock	soul hop	upliftng	hype	synthesizer	7	6	5	5	10	10	9
Exposed	APEK	APEK, April Bender	English	2018	Pop	Electronic	Loving someone	Chill	Synthesizer	8	7	7	8	8	8	8
False Signal	Melii	Melii	English	2019	hip hop	rap	heartache	sad	synthesizer 	6	7	7	7	7	7	7
Fame	Muza	Muza	Bengali,English	2019	pop	null	fame	happy	synthesizer	7	9	9	8	8	6	7
FANCY	Jeon Goon, Black Eyed Pelseung	TWICE	Korean	2019	Pop	KPop	Love	Happy	Synthesizer	5	8	10	8	10	10	7
Flourescent Adolescent	Arctic Monkeys	Arctic Monkeys	English	2007	rock	punk	yearning	nostalgic	guitar	7	8	6	3	8	4	7
Freudian	Daniel Caesar	Daniel Caesar	English	2017	R&B	null	Regret	Chill	Guitar	4	6	7	9	9	2	3
From Ritz To Bubbles	Alex and Tunner	Arctic Monkeys	English	2006	Rock	Indie	Night out	Happy	Guitar	10	7	8	5	8	6	8
ft.	Funkist	funkist	Japanese	2010	rock	Jrock	not giving up 	uplifting	synthesizer	8	9	8	7	8	8	8
Give Me Novocaine/She's a Rebel	Green Day	Green Day	English	2003	rock	punk	unsure	numb	guitar	9	7	7	5	6	4	7
God Damnit	Illenium	Illenium, Call Me Karizma	English	2018	Pop	null	Not being enough	Calm	Synthesizer	5	8	7	6	6	6	5
Gods Gift	J.Cole	J.Cole	English	2011	hip hop 	Rap	Storytelling	Touching 	Drums	6	8	3	3	6	1	3
Going Down to Underwater	Keith Ape, Ski Mask the Slump God	Keith Ape, Ski Mask the Slump God	English	2017	hip Hop	rap	flexing	hype	drum	5	7	7	6	8	5	8
